gene	number	code	class
ZC3H8	2	1001000	Transcription factor,RNA binding protein
ZCCHC14	1	0010000	Others
ZCCHC17	1	0010000	Others
ZDHHC15	1	0000010	Nuclear enzyme
ZEB1	1	1000000	Transcription factor
ZEB2	1	1000000	Transcription factor
ZFAT	1	1000000	Transcription factor
ZFHX2	1	1000000	Transcription factor
ZFHX3	1	1000000	Transcription factor
ZFP1	1	1000000	Transcription factor
ZFP14	1	1000000	Transcription factor
ZFP28	1	1000000	Transcription factor
ZFP30	1	1000000	Transcription factor
ZFP3	2	1001000	Transcription factor,RNA binding protein
ZFP36	2	1001000	Transcription factor,RNA binding protein
ZFP41	1	1000000	Transcription factor
ZFP42	1	1000000	Transcription factor
ZFP64	1	1000000	Transcription factor
ZFP82	1	1000000	Transcription factor
ZFP91	1	1000000	Transcription factor
