motif	TR
HM10932	CHURC1
HM00826	CIC
HM06733	CIITA
HM06734	CIITA
HM06735	CIITA
HM05606	CKMT1B
HM05607	CLK1
HM01489	CLOCK
HM05162	CLOCK
HM07893	CLOCK
HM05608	CNOT6
HM04490	CPEB1
HM05610	CPSF4
HM08977	CPSF4
HM00984	CREB1
HM00988	CREB1
HM05611	CREB1
HM08090	CREB3
HM08091	CREB3
HM08095	CREB3
HM01495	CREB3L1
HM05612	CREB3L1
HM00725	CREB3L2
HM09249	CREB3L2
HM09250	CREB3L2
HM08096	CREB3L4
HM08097	CREB3L4
HM08098	CREB3L4
HM04115	CREB5
HM08157	CREB5
HM08158	CREB5
HM06737	CREBBP
HM06738	CREBBP
HM06741	CREBBP
HM04592	CREBL2
HM04593	CREBL2
HM05165	CREM
HM08067	CREM
HM08068	CREM
HM03142	CRX
HM07749	CRX
HM06742	CRY1
HM06744	CRY1
HM06746	CRY1
HM06748	CSNK2A1
HM06750	CSNK2A1
HM05613	CSNK2B
HM05394	CSTA
HM05614	CSTF2
HM10785	CTAA1
HM06753	CTBP1
HM06756	CTBP1
HM06757	CTBP2
HM06758	CTBP2
HM01328	CTCF
HM02667	CTCF
HM01358	CTCFL
HM02660	CTCFL
HM06764	CTNNB1
HM06766	CTNNB1
HM02915	CUX1
HM03810	CUX1
HM08349	CUX1
HM03812	CUX2
HM03813	CUX2
HM08351	CUX2
HM00742	CXXC1
HM02204	CXXC1
HM06768	CXXC4
HM06771	CXXC4
HM05615	CYB5R1
HM05616	CYCS
HM05617	DAB2
HM06772	DAXX
HM06773	DAXX
HM06775	DAXX
HM02205	DBP
HM08172	DBP
HM10080	DBP
HM03593	DBX1
HM03594	DBX2
HM02206	DDIT3
HM10082	DDIT3
HM05620	DDX20
HM05622	DDX43
HM06778	DDX5
HM06781	DDX5
HM10937	DEAF1
HM10938	DEAF1
HM06783	DEK
HM06784	DEK
HM05624	DGCR8
HM05625	DHX36
HM05626	DIABLO
HM06787	DIDO1
HM06791	DIDO1
HM05627	DIS3
HM00411	DLX1
HM07441	DLX1
HM10083	DLX1
HM02207	DLX2
HM03596	DLX2
HM05171	DLX3
HM07455	DLX3
HM07456	DLX3
HM07446	DLX4
HM07450	DLX4
HM10086	DLX4
HM03599	DLX5
HM07457	DLX5
HM07461	DLX5
HM05628	DLX6
HM07439	DLX6
HM07440	DLX6
HM03600	DMBX1
HM04224	DMBX1
HM07764	DMBX1
HM05440	DMC1
HM00748	DMRT1
HM00749	DMRT1
HM03345	DMRT1
HM00751	DMRT2
HM03346	DMRT2
HM03347	DMRT3
HM06206	DMRT3
HM08359	DMRT3
HM03348	DMRTA1
HM08354	DMRTA1
HM03349	DMRTA2
HM08356	DMRTA2
HM03350	DMRTC2
HM08361	DMRTC2
HM08367	DMRTC2
HM00745	DNMT1
HM05629	DNMT3A
HM04598	DNMT3B
HM06792	DNMT3B
HM06795	DNMT3B
HM09080	DPF1
HM06797	DPF2
HM06798	DPF2
HM06801	DPF2
HM04225	DPRX
HM04226	DPRX
HM07862	DPRX
HM00420	DRGX
HM07715	DRGX
HM07716	DRGX
HM05630	DTL
HM05632	DUSP22
HM05633	DUSP26
HM00906	DUX4
HM03601	DUX4
HM05172	DUX4
HM01517	DUXA
HM07804	DUXA
HM07805	DUXA
HM00627	E2F1
HM05441	E2F1
HM06007	E2F1
HM00063	E2F2
HM00629	E2F2
HM10095	E2F2
HM01526	E2F3
HM02211	E2F3
HM08368	E2F3
HM00630	E2F4
HM00907	E2F4
HM01529	E2F4
HM02875	E2F5
HM03190	E2F5
HM03224	E2F5
HM01361	E2F6
HM10099	E2F6
HM02215	E2F7
HM05442	E2F7
HM08379	E2F7
HM01531	E2F8
HM08376	E2F8
HM08377	E2F8
HM03168	E4F1
HM10102	E4F1
HM10895	E4F1
HM03824	EBF1
HM05634	EBF1
HM10104	EBF3
HM05635	ECSIT
HM05636	EDN1
HM06803	EED
HM06806	EED
HM05649	EEF1AKMT3
HM05637	EEF1D
HM06807	EGLN2
HM06808	EGLN2
HM06811	EGLN2
HM02689	EGR1
HM02804	EGR1
HM03750	EGR1
HM00005	EGR2
HM02218	EGR2
HM02219	EGR3
HM03004	EGR3
HM08983	EGR3
HM00690	EGR4
HM02220	EGR4
HM03003	EGR4
HM00944	EHF
HM02221	EHF
HM03825	EHF
HM05638	EIF5A2
HM00072	ELF1
HM01425	ELF1
HM02223	ELF2
HM05639	ELF2
HM01543	ELF3
HM03486	ELF3
HM08224	ELF3
HM00075	ELF4
HM08295	ELF4
HM08298	ELF4
HM00076	ELF5
HM03433	ELF5
HM00080	ELK1
HM02226	ELK1
HM06012	ELK1
HM02227	ELK3
HM03855	ELK3
HM08286	ELK3
HM03398	ELK4
HM10117	ELK4
HM06812	ELL2
HM06814	ELL2
HM06816	ELL2
HM06817	ELL
HM06818	ELL
HM06820	ELL
HM01555	EMX1
HM06207	EMX1
HM07516	EMX1
HM00425	EMX2
HM07520	EMX2
HM01001	EN1
HM04236	EN1
HM07708	EN1
HM04240	EN2
HM07704	EN2
HM07705	EN2
HM02229	ENO1
HM05640	ENO1
HM02230	EOMES
HM08858	EOMES
HM02790	EP300
HM10123	EP300
HM05189	EPAS1
HM10124	EPAS1
HM10851	EPAS1
HM01566	ERF
HM00087	ERG
HM03841	ERG
HM05448	ERG
HM01434	ESR1
HM05450	ESR1
HM08683	ESR1
HM05195	ESR2
HM06138	ESR2
HM10128	ESR2
HM05835	ESRP1
HM05836	ESRP2
HM02233	ESRRA
HM04406	ESRRA
HM05641	ESRRA
HM04407	ESRRB
HM05192	ESRRB
HM08677	ESRRB
HM00567	ESRRG
HM02235	ESRRG
HM04408	ESRRG
HM03605	ESX1
HM07810	ESX1
HM05643	ETFB
HM03411	ETS1
HM05644	ETS1
HM05197	ETS2
HM06495	ETS2
HM08258	ETS2
HM03847	ETV1
HM05454	ETV1
HM00093	ETV2
HM08254	ETV2
HM03849	ETV3
HM08252	ETV3
HM08253	ETV3
HM03159	ETV4
HM05645	ETV4
HM08273	ETV4
HM02242	ETV5
HM03851	ETV5
HM08265	ETV5
HM00097	ETV6
HM03853	ETV6
HM03165	ETV7
HM08309	ETV7
HM08310	ETV7
HM01595	EVX1
HM05646	EVX1
HM07711	EVX1
HM03607	EVX2
HM07713	EVX2
HM07714	EVX2
HM05647	EWSR1
HM05590	EXO5
HM06824	EZH1
HM06826	EZH1
HM10144	EZH2
HM05941	EZR
HM05589	FAAP24
HM06828	FANCL
HM06829	FANCL
HM06831	FANCL
HM01449	FERD3L
HM08005	FERD3L
HM08006	FERD3L
HM01597	FEV
HM03458	FEV
HM05204	FEV
HM05651	FEZ1
HM05205	FEZF1
HM01446	FEZF2
HM05652	FEZF2
HM05653	FGF19
HM05654	FHL2
HM04062	FIGLA
HM08044	FIGLA
HM08045	FIGLA
HM05655	FIP1L1
HM03860	FLI1
HM05656	FLI1
HM05207	FOSB
HM08124	FOSB
HM10148	FOSB
HM02250	FOS
HM05210	FOS
HM08122	FOS
HM05657	FOSL1
HM08125	FOSL1
HM10149	FOSL1
HM02249	FOSL2
HM06527	FOSL2
HM06528	FOSL2
HM05457	FOXA1
HM06500	FOXA1
HM08409	FOXA1
HM01045	FOXA2
HM05458	FOXA2
HM08404	FOXA2
HM05213	FOXA3
HM08414	FOXA3
HM08415	FOXA3
HM00357	FOXB1
HM04143	FOXB1
HM04144	FOXB1
HM00758	FOXB2
HM00847	FOXC1
HM04184	FOXC1
HM09372	FOXC1
HM00363	FOXC2
HM01611	FOXC2
HM04150	FOXC2
HM00846	FOXD1
HM03025	FOXD1
HM10798	FOXD1
HM04153	FOXD2
HM04154	FOXD2
HM08392	FOXD2
HM00366	FOXD3
HM01616	FOXD3
HM10160	FOXD3
HM00851	FOXE1
HM08396	FOXE1
HM03027	FOXF1
HM10161	FOXF1
HM10800	FOXF1
HM02258	FOXF2
HM03023	FOXF2
HM03365	FOXF2
HM00368	FOXG1
HM04158	FOXG1
HM04187	FOXG1
HM05215	FOXH1
HM06158	FOXH1
HM03374	FOXI1
HM04159	FOXI1
HM04160	FOXI1
HM00852	FOXI2
HM03192	FOXJ1
HM03489	FOXJ1
HM10165	FOXJ1
HM00373	FOXJ2
HM01623	FOXJ2
HM04161	FOXJ2
HM01625	FOXJ3
HM09396	FOXJ3
HM09397	FOXJ3
HM04167	FOXK1
HM04193	FOXK1
HM00757	FOXK2
HM06459	FOXK2
HM00379	FOXL1
HM00848	FOXL1
HM04169	FOXL1
HM08418	FOXL2
HM08419	FOXL2
HM03145	FOXM1
HM05658	FOXM1
HM03033	FOXN1
HM10171	FOXN1
HM08380	FOXN2
HM08381	FOXN2
HM05605	FOXN3
HM00383	FOXO1
HM01631	FOXO1
HM05459	FOXO1
HM01634	FOXO3
HM01635	FOXO3
HM04173	FOXO3
HM01636	FOXO4
HM04177	FOXO4
HM04178	FOXO4
HM00392	FOXO6
HM04179	FOXO6
HM04180	FOXO6
HM03281	FOXP1
HM05224	FOXP1
HM08430	FOXP1
HM00940	FOXP2
HM05225	FOXP2
HM06529	FOXP2
HM00393	FOXP3
HM02268	FOXP3
HM03283	FOXP3
HM00753	FOXP4
HM05659	FOXP4
HM05226	FOXQ1
HM08389	FOXQ1
HM10179	FOXQ1
HM08382	FOXR2
HM00756	FOXS1
HM10180	FUBP1
HM00104	GABPA
HM06048	GABPA
HM05660	GADD45A
HM05770	GAR1
HM01021	GATA1
HM01428	GATA1
HM06501	GATA1
HM01027	GATA2
HM02273	GATA2
HM06024	GATA3
HM06025	GATA3
HM10184	GATA3
HM00116	GATA4
HM02275	GATA4
HM09047	GATA4
HM00117	GATA5
HM09039	GATA5
HM10186	GATA5
HM02277	GATA6
HM05232	GATA6
HM09048	GATA6
HM04600	GATAD1
HM06832	GATAD1
HM06836	GATAD1
HM04604	GATAD2A
HM04608	GATAD2A
HM04610	GATAD2B
HM04611	GATAD2B
HM03608	GBX1
HM04246	GBX1
HM09422	GBX1
HM01650	GBX2
HM07418	GBX2
HM07422	GBX2
HM03877	GCM1
HM06532	GCM1
HM03879	GCM2
HM08436	GCM2
HM08437	GCM2
HM02281	GFI1B
HM05465	GFI1B
HM08902	GFI1B
HM01035	GFI1
HM08900	GFI1
HM10193	GFI1
HM05661	GIT2
HM03311	GLI1
