motif	TR
HM08211	MAFA
HM09567	MAFB
HM09568	MAFB
HM10330	MAFB
HM00341	MAFF
HM06169	MAFF
HM08185	MAFF
HM02352	MAFG
HM08191	MAFG
HM02351	MAF
HM08202	MAF
HM01780	MAFK
HM02353	MAFK
HM05727	MAGEA8
HM05728	MAGED4
HM05729	MAGEF1
HM05730	MAGOH
HM00744	MAML2
HM06968	MAML3
HM06970	MAML3
HM06972	MAML3
HM05731	MAP4K2
HM00295	MAX
HM06541	MAX
HM03155	MAZ
HM05285	MAZ
HM10336	MAZ
HM05286	MBD2
HM06973	MBD3
HM06977	MBD3
HM06978	MBD4
HM06982	MBD4
HM08976	MBNL2
HM05733	MBTPS2
HM05735	MDM2
HM01005	MECOM
HM01006	MECOM
HM01008	MECOM
HM05287	MECP2
HM05736	MECP2
HM06984	MED1
HM06985	MED1
HM06988	MED26
HM06989	MED26
HM06991	MED26
HM05911	MED30
HM01432	MEF2A
HM03380	MEF2A
HM05482	MEF2A
HM03902	MEF2B
HM05737	MEF2B
HM08539	MEF2B
HM02360	MEF2C
HM08533	MEF2C
HM10342	MEF2C
HM08535	MEF2D
HM10343	MEF2D
HM01069	MEIS1
HM01786	MEIS1
HM05292	MEIS1
HM08541	MEIS2
HM09583	MEIS2
HM09587	MEIS3
HM09588	MEIS3
HM04330	MEOX1
HM07607	MEOX1
HM07608	MEOX1
HM04332	MEOX2
HM04333	MEOX2
HM07612	MEOX2
HM04071	MESP1
HM01795	MESP2
HM07998	MESP2
HM05847	MEX3C
HM00234	MGA
HM01796	MGA
HM01798	MGA
HM05871	MIEF1
HM06993	MIER1
HM06994	MIER1
HM06996	MIER1
HM05294	MITF
HM06210	MITF
HM10351	MITF
HM00506	MIXL1
HM07778	MIXL1
HM07779	MIXL1
HM07001	MLLT1
HM07002	MLLT1
HM01800	MLX
HM05739	MLX
HM08047	MLX
HM00719	MLXIP
HM00298	MLXIPL
HM02365	MLXIPL
HM00300	MNT
HM00507	MNX1
HM07415	MNX1
HM07416	MNX1
HM05741	MORN1
HM05742	MRPL1
HM05743	MRPL2
HM05744	MRPS25
HM00680	MSC
HM07991	MSC
HM07992	MSC
HM07996	MSGN1
HM05745	MSI1
HM05746	MSI2
HM05748	MSRB3
HM07409	MSX1
HM07410	MSX1
HM10358	MSX1
HM00511	MSX2
HM02366	MSX2
HM07004	MTA1
HM07005	MTA1
HM07007	MTA1
HM07009	MTA2
HM07011	MTA2
HM10360	MTA3
HM00619	MTF1
HM03156	MTF1
HM03517	MTF1
HM10992	MTF2
HM10993	MTF2
HM05749	MTHFD1
HM04685	MXD1
HM04686	MXD1
HM04691	MXD3
HM04692	MXD3
HM05750	MXD4
HM01415	MXI1
HM10362	MXI1
HM00982	MYB
HM02369	MYB
HM03234	MYB
HM01814	MYBL1
HM03923	MYBL1
HM03924	MYBL1
HM01816	MYBL2
HM01818	MYBL2
HM05484	MYBL2
HM02736	MYC
HM03181	MYC
HM00882	MYCL
HM06511	MYCLP1
HM02371	MYCN
HM05487	MYCN
HM08058	MYCN
HM05751	MYEF2
HM04075	MYF6
HM05752	MYF6
HM08041	MYF6
HM05753	MYLK
HM04696	MYNN
HM04697	MYNN
HM07016	MYNN
HM01073	MYOD1
HM05754	MYOD1
HM08025	MYOD1
HM03175	MYOG
HM08032	MYOG
HM08037	MYOG
HM00810	MYPOP
HM00811	MYRF
HM00859	MZF1
HM00860	MZF1
HM01076	MZF1
HM00808	NAIF1
HM02376	NANOG
HM07468	NANOG
HM10372	NANOG
HM05755	NANOS1
HM05756	NAP1L1
HM07018	NBN
HM07020	NBN
HM07021	NBN
HM05757	NCALD
HM05758	NCBP2
HM07023	NCOA1
HM07024	NCOA1
HM07026	NCOA1
HM07029	NCOA2
HM07031	NCOA2
HM04706	NCOA3
HM07033	NCOA3
HM07035	NCOA3
HM07039	NCOR1
HM07041	NCOR1
HM07042	NCOR1
HM04713	NCOR2
HM04714	NCOR2
HM07045	NCOR2
HM05944	NELFA
HM05609	NELFB
HM02377	NEUROD1
HM05490	NEUROD1
HM07980	NEUROD1
HM04077	NEUROD2
HM07981	NEUROD2
HM07982	NEUROD2
HM00722	NEUROG1
HM07972	NEUROG1
HM07974	NEUROG1
HM04078	NEUROG2
HM04079	NEUROG2
HM07978	NEUROG2
HM04718	NEUROG3
HM04719	NEUROG3
HM10770	NF1
HM03930	NFAT5
HM08817	NFAT5
HM10376	NFAT5
HM00168	NFATC1
HM05491	NFATC1
HM08822	NFATC1
HM06120	NFATC2
HM08825	NFATC2
HM08826	NFATC2
HM05759	NFATC3
HM08828	NFATC3
HM05760	NFATC4
HM08833	NFATC4
HM08834	NFATC4
HM02585	NFE2
HM04136	NFE2
HM02378	NFE2L1
HM03021	NFE2L1
HM02916	NFE2L2
HM03232	NFE2L2
HM03452	NFE2L2
HM04720	NFE2L3
HM04721	NFE2L3
HM00172	NFIA
HM00691	NFIA
HM05306	NFIA
HM03937	NFIB
HM05761	NFIB
HM10385	NFIB
HM05494	NFIC
HM06132	NFIC
HM01831	NFIL3
HM05762	NFIL3
HM00694	NFIX
HM10388	NFIX
HM02605	NFKB1
HM05308	NFKB1
HM00171	NFKB2
HM02389	NFKB2
HM05309	NFKB2
HM07049	NFKBIA
HM07050	NFKBIA
HM07052	NFRKB
HM07054	NFRKB
HM07055	NFRKB
HM01083	NFYA
HM06046	NFYA
HM06047	NFYA
HM05311	NFYB
HM06175	NFYB
HM10392	NFYB
HM02392	NFYC
HM05312	NFYC
HM04080	NHLH1
HM08011	NHLH1
HM00721	NHLH2
HM08015	NHLH2
HM07056	NIPBL
HM07057	NIPBL
HM07059	NIPBL
HM00803	NKX1-1
HM10395	NKX1-1
HM00798	NKX1-2
HM10396	NKX1-2
HM03071	NKX2-1
HM03216	NKX2-1
HM10397	NKX2-1
HM02394	NKX2-2
HM03108	NKX2-2
HM03686	NKX2-2
HM00796	NKX2-3
HM05764	NKX2-3
HM10399	NKX2-3
HM00775	NKX2-4
HM10400	NKX2-4
HM01087	NKX2-5
HM02999	NKX2-5
HM00795	NKX2-6
HM03690	NKX2-6
HM02396	NKX2-8
HM04347	NKX2-8
HM07478	NKX2-8
HM00888	NKX3-1
HM04355	NKX3-1
HM00518	NKX3-2
HM07471	NKX3-2
HM10405	NKX3-2
HM00519	NKX6-1
HM01089	NKX6-1
HM03110	NKX6-2
HM07502	NKX6-2
HM10407	NKX6-2
HM00805	NKX6-3
HM07506	NKX6-3
HM10408	NKX6-3
HM05765	NME1
HM07061	NME2
HM07062	NME2
HM05766	NMI
HM05767	NMRAL1
HM05768	NNT
HM00761	NOBOX
HM03427	NOBOX
HM10409	NOBOX
HM05769	NOC2L
HM05771	NONO
HM07067	NOTCH1
HM07068	NOTCH1
HM07069	NOTCH1
HM01840	NOTO
HM07513	NOTO
HM07514	NOTO
HM07890	NPAS2
HM07891	NPAS2
HM01448	NPAS4
HM10411	NR0B1
HM02401	NR1D1
HM05497	NR1D1
HM08628	NR1D1
HM06512	NR1D2
HM08630	NR1D2
HM02402	NR1H2
HM05498	NR1H2
HM05315	NR1H3
HM03267	NR1H4
HM06466	NR1H4
HM06544	NR1H4
HM02404	NR1I2
HM02405	NR1I2
HM06513	NR1I2
HM02407	NR1I3
HM05318	NR1I3
HM08574	NR1I3
HM02408	NR2C1
HM08602	NR2C1
HM08603	NR2C1
HM01438	NR2C2
HM02818	NR2C2
HM04421	NR2E1
HM04432	NR2E1
HM02410	NR2E3
HM03465	NR2E3
HM10997	NR2E3
HM00578	NR2F1
HM02196	NR2F1
HM05772	NR2F1
HM01439	NR2F2
HM01440	NR2F2
HM02951	NR2F2
HM00814	NR2F6
HM09665	NR2F6
HM09666	NR2F6
HM01174	NR3C1
HM02280	NR3C1
HM00813	NR3C2
HM04430	NR3C2
HM08688	NR3C2
HM02412	NR4A1
HM08609	NR4A1
HM00587	NR4A2
HM01853	NR4A2
HM05774	NR4A2
HM02414	NR4A3
HM03182	NR5A1
HM03340	NR5A1
HM08665	NR5A1
HM05504	NR5A2
HM08668	NR5A2
HM08670	NR5A2
HM03131	NR6A1
HM05325	NR6A1
HM08662	NR6A1
HM02753	NRF1
HM03158	NRF1
HM07072	NRIP1
HM07075	NRIP1
HM01857	NRL
HM08215	NRL
HM04725	NSD2
HM04727	NSD2
HM07079	NSD2
HM05776	NUCB1
HM05777	NUP107
HM05778	NUP133
HM05779	NXPH3
HM07081	OCA2
HM07083	OCA2
HM07085	OCA2
HM05780	ODC1
HM01858	OLIG1
HM05781	OLIG1
HM07961	OLIG2
HM07964	OLIG2
HM05782	OLIG3
HM07966	OLIG3
HM07969	OLIG3
HM00060	ONECUT1
HM03149	ONECUT1
HM08345	ONECUT1
HM03816	ONECUT2
HM08339	ONECUT2
HM08340	ONECUT2
HM00062	ONECUT3
HM08337	ONECUT3
HM08338	ONECUT3
HM00737	OSR1
HM08894	OSR1
HM10439	OSR1
HM03524	OSR2
HM05328	OSR2
HM08892	OSR2
HM00779	OTP
HM10441	OTP
HM05783	OTUD4
HM04361	OTX1
HM07746	OTX1
HM04359	OTX2
HM07743	OTX2
HM02421	OVOL1
HM09107	OVOL1
HM09108	OVOL1
HM03326	OVOL2
HM09112	OVOL2
HM10998	OVOL2
HM05784	P4HB
HM07087	PALB2
HM07090	PALB2
HM03112	PATZ1
HM05335	PATZ1
HM10445	PATZ1
HM00176	PAX1
HM03030	PAX1
HM08712	PAX1
HM00177	PAX2
HM02426	PAX2
HM03109	PAX2
HM03942	PAX3
HM05785	PAX3
HM01107	PAX4
HM01108	PAX4
HM03944	PAX4
HM00181	PAX5
HM01441	PAX5
HM10450	PAX5
HM02429	PAX6
HM08720	PAX6
HM10451	PAX6
HM03948	PAX7
HM06547	PAX7
HM02430	PAX8
HM03177	PAX8
HM01879	PAX9
HM08714	PAX9
HM10804	PAX9
HM05786	PAXIP1
HM01113	PBX1
HM07886	PBX1
HM05339	PBX2
HM06469	PBX2
HM02637	PBX3
HM02696	PBX3
HM11006	PBX4
HM11007	PBX4
HM07094	PCGF2
HM07095	PCGF2
HM05787	PCK2
HM05788	PDCD11
HM05789	PDE6H
HM05790	PDLIM5
HM05860	PDS5A
HM00528	PDX1
HM03430	PDX1
HM05791	PGAM2
HM02454	PGR
HM02455	PGR
HM10927	PGR
HM11008	PHF1
HM11009	PHF1
HM07096	PHF8
HM07097	PHF8
HM05792	PHLDA2
HM00530	PHOX2A
HM03704	PHOX2A
HM05793	PHOX2A
HM07740	PHOX2B
HM07742	PHOX2B
HM10461	PHOX2B
HM05794	PHTF1
HM07102	PIAS1
HM07104	PIAS1
HM07105	PIAS1
HM05795	PICK1
HM05796	PIK3C3
HM05797	PIR
HM05798	PITX1
HM07762	PITX1
HM03105	PITX2
HM07758	PITX2
HM10463	PITX2
HM03708	PITX3
HM04370	PITX3
HM07755	PITX3
HM05799	PKM
HM02437	PKNOX1
HM03709	PKNOX1
HM03916	PKNOX1
HM03710	PKNOX2
HM05800	PKNOX2
HM09709	PKNOX2
HM00902	PLAG1
HM02438	PLAG1
HM02439	PLAG1
HM02440	PLAGL1
HM03525	PLAGL1
HM05801	PLAGL1
HM05802	PLG
HM10469	PML
HM05803	POLE3
HM05804	POLI
HM00186	POU1F1
HM03193	POU1F1
HM08788	POU1F1
HM00189	POU2F1
HM00806	POU2F1
HM02614	POU2F2
HM03006	POU2F2
HM00192	POU2F3
HM01898	POU2F3
HM03958	POU3F1
HM08766	POU3F1
HM03090	POU3F2
HM05805	POU3F2
HM00200	POU3F3
HM01904	POU3F3
HM03962	POU3F3
HM03965	POU3F4
HM03966	POU3F4
HM00203	POU4F1
HM08776	POU4F1
HM08778	POU4F1
HM02445	POU4F2
HM03968	POU4F2
HM03969	POU4F2
HM03970	POU4F3
HM05806	POU4F3
HM08785	POU4F3
HM01912	POU5F1B
HM01913	POU5F1B
HM06546	POU5F1B
HM03437	POU5F1
HM10481	POU5F1
HM01117	POU6F1
HM08795	POU6F1
HM01914	POU6F2
HM01916	POU6F2
HM03974	POU6F2
HM02449	PPARA
HM03001	PPARA
HM10484	PPARA
HM08651	PPARD
HM08652	PPARD
HM10485	PPARD
HM07108	PPARGC1A
HM07110	PPARGC1A
HM02452	PPARG
HM06049	PPARG
HM05807	PPP1R10
HM05808	PPP2R3B
HM05810	PQBP1
HM05518	PRDM14
HM00844	PRDM16
HM01423	PRDM1
HM10488	PRDM1
HM04484	PRDM4
HM09084	PRDM4
HM09085	PRDM4
HM05346	PRDM6
HM05811	PRDX5
HM07113	PRKDC
HM07114	PRKDC
HM07115	PRKDC
HM05813	PRNP
HM02456	PROP1
HM07776	PROP1
HM03978	PROX1
HM07403	PROX1
HM07404	PROX1
HM00538	PRRX1
HM00540	PRRX1
HM05814	PRRX1
HM05347	PRRX2
HM07731	PRRX2
HM05815	PSMA6
HM05816	PSMC2
HM05817	PTCD1
HM03285	PTEN
HM02459	PTF1A
HM03160	PTF1A
HM08004	PTF1A
HM07119	PTTG1
HM07120	PTTG1
HM02460	PURA
HM05819	PURG
HM07121	PYGO2
HM07122	PYGO2
HM07125	PYGO2
HM03213	QRSL1
HM03370	QRSL1
HM05820	R3HDM2
HM05821	RAB14
HM05822	RAB18
HM05823	RAB2A
HM03266	RAB40B
HM05824	RAB7A
HM07128	RAC3
HM07129	RAC3
HM07130	RAC3
HM02636	RAD21
HM02741	RAD21
HM10495	RAD21
HM07133	RAD51
HM07135	RAD51
HM05825	RAN
HM04440	RARA
HM05826	RARA
HM09754	RARA
HM04561	RARB
HM08641	RARB
HM01936	RARG
HM05828	RARG
HM09769	RARG
HM04378	RAX2
HM04379	RAX
HM05829	RAX
HM07795	RAX
HM07136	RB1
HM07139	RB1
HM07140	RB1
HM04728	RBAK
HM04730	RBAK
HM05830	RBBP5
HM05831	RBBP9
HM05839	RBFOX2
HM03230	RBFOX3
HM05833	RBM22
HM05834	RBM3
HM05838	RBM8A
HM05840	RBMS1
HM07142	RBP2
HM07143	RBP2
HM07144	RBP2
HM03330	RBPJ
HM10501	RBPJ
HM10502	RCOR1
HM01080	RELA
HM01243	RELA
HM05351	RELB
HM06473	RELB
HM00990	REL
HM02467	REL
HM05352	REL
HM01215	REST
HM02744	REST
HM05841	RFC2
HM05842	RFC3
HM02469	RFX1
HM05522	RFX1
HM00214	RFX2
HM00820	RFX2
HM05843	RFX3
HM08806	RFX3
HM09778	RFX3
HM00218	RFX4
HM05844	RFX4
HM08810	RFX4
HM02733	RFX5
HM03986	RFX5
HM00819	RFX6
HM00821	RFX7
HM08816	RFX7
HM10512	RFX7
HM00823	RFX8
HM05845	RFXANK
HM00546	RHOXF1
HM04384	RHOXF1
HM07808	RHOXF1
HM07806	RHOXF2
HM07807	RHOXF2
HM10514	RHOXF2
HM05846	RIOK2
HM04733	RLF
HM04734	RLF
HM05848	RNASEH2C
HM05978	RNF114
HM07148	RNF2
HM07149	RNF2
HM07150	RNF2
HM00601	RORA
HM00866	RORA
HM01955	RORA
HM06483	RORB
HM06516	RORB
HM06517	RORB
HM05359	RORC
HM08690	RORC
HM08691	RORC
HM05851	RPL6
HM05852	RPP25
HM05853	RPS10
HM05854	RPS4X
HM05855	RPS6KA5
HM03010	RREB1
HM03395	RREB1
HM10517	RREB1
HM05650	RTL8A
HM05856	RUFY3
HM02860	RUNX1
HM03198	RUNX1
HM07151	RUNX1T1
HM07154	RUNX1T1
HM00221	RUNX2
HM01957	RUNX2
HM03014	RUNX2
HM01959	RUNX3
HM02477	RUNX3
HM10520	RUNX3
HM05857	RUVBL1
HM04451	RXRA
HM04467	RXRA
HM05858	RXRA
HM02479	RXRB
HM08623	RXRB
HM09804	RXRB
HM00685	RXRG
HM10523	RXRG
HM07159	RYBP
HM07160	RYBP
HM05366	SALL4
HM07161	SAP30
HM07164	SAP30
HM04739	SATB1
HM07167	SATB1
HM07169	SATB1
HM05859	SCAND2P
HM05861	SCMH1
HM03771	SCRT1
HM09091	SCRT1
HM09092	SCRT1
HM03772	SCRT2
HM09093	SCRT2
HM09094	SCRT2
HM01447	SCX
HM05862	SEMA4A
HM02708	SETDB1
HM02743	SETDB1
HM05863	SF1
HM05864	SF3B1
HM07170	SFMBT1
HM07172	SFMBT1
HM07174	SFMBT1
HM04741	SFPQ
HM04742	SFPQ
HM04743	SFPQ
HM05865	SFT2D1
HM00548	SHOX2
HM09813	SHOX2
HM10526	SHOX2
HM04386	SHOX
HM07751	SHOX
HM07752	SHOX
HM02654	SIN3A
HM02795	SIN3A
HM07177	SIN3B
HM07178	SIN3B
HM02698	SIRT6
HM00799	SIX1
HM06474	SIX1
HM07874	SIX1
HM00781	SIX2
HM05368	SIX2
HM00791	SIX3
HM07881	SIX3
HM10531	SIX3
HM00786	SIX4
HM07870	SIX4
HM10532	SIX4
HM01430	SIX5
HM03734	SIX5
HM00777	SIX6
HM07883	SIX6
HM10534	SIX6
HM08849	SKOR1
HM08848	SKOR2
HM05866	SLC18A1
HM05342	SLC20A1
HM02481	SMAD1
HM05369	SMAD2
HM05867	SMAD2
HM10536	SMAD2
HM03906	SMAD3
HM05868	SMAD3
HM02484	SMAD4
HM03185	SMAD4
HM05869	SMAD4
HM08528	SMAD5
HM08529	SMAD5
HM05870	SMAP2
HM04746	SMARCA1
HM04749	SMARCA1
HM07182	SMARCA4
HM07184	SMARCA4
HM04751	SMARCA5
HM04753	SMARCA5
HM04754	SMARCA5
HM07188	SMARCB1
HM07189	SMARCB1
HM01272	SMARCC1
HM10539	SMARCC1
HM01273	SMARCC2
HM10540	SMARCC2
HM07191	SMC1A
HM07194	SMC1A
HM02607	SMC3
HM02745	SMC3
HM02750	SMC3
HM07195	SMC4
HM05872	SMPX
HM05873	SMUG1
HM02486	SNAI1
HM09096	SNAI1
HM09097	SNAI1
HM01977	SNAI2
HM02487	SNAI2
HM09100	SNAI2
HM00735	SNAI3
HM09104	SNAI3
HM07196	SNAPC1
HM07199	SNAPC1
HM05874	SNAPC4
HM05875	SNAPC5
HM05876	SND1
HM05877	SNRNP70
HM05878	SNRPB2
HM02992	SOAT1
HM03113	SOAT1
HM05879	SOCS4
HM07919	SOHLH2
HM07920	SOHLH2
HM01981	SOX10
HM04544	SOX10
HM06139	SOX10
HM00832	SOX11
HM03534	SOX11
HM04546	SOX11
HM00831	SOX12
HM03535	SOX12
HM08477	SOX12
HM02489	SOX13
HM03536	SOX13
HM05881	SOX13
HM04502	SOX14
HM05882	SOX14
HM00643	SOX15
HM04506	SOX15
HM10549	SOX15
HM03297	SOX17
HM09830	SOX17
HM09831	SOX17
HM04509	SOX18
HM04510	SOX18
HM08462	SOX18
HM00833	SOX1
HM04551	SOX1
HM09838	SOX1
HM01994	SOX21
HM04513	SOX21
HM04514	SOX21
HM01997	SOX2
HM02000	SOX2
HM10554	SOX2
HM00829	SOX30
HM08480	SOX30
HM10555	SOX30
HM04555	SOX3
HM05528	SOX3
HM09849	SOX3
HM00657	SOX4
HM00825	SOX4
HM02495	SOX5
HM03404	SOX5
HM06558	SOX5
HM05529	SOX6
HM06519	SOX6
HM06559	SOX6
HM00658	SOX7
HM02005	SOX7
HM08464	SOX7
HM00666	SOX8
HM04531	SOX8
HM08469	SOX8
HM00669	SOX9
HM02018	SOX9
HM10562	SOX9
HM10563	SP100
HM02021	SP1
HM02819	SP1
HM03251	SP1
HM02816	SP2
HM06185	SP2
HM10565	SP2
HM00023	SP3
HM02500	SP3
HM08994	SP3
HM02501	SP4
HM03549	SP4
HM03776	SP4
HM01451	SP5
HM03777	SP8
HM08987	SP8
HM08988	SP8
HM02024	SP9
HM08989	SP9
HM05883	SPAG7
HM02027	SPDEF
HM02029	SPDEF
HM05530	SPDEF
HM00111	SPI1
HM01377	SPI1
HM06062	SPI1
HM03401	SPIB
HM08216	SPIB
HM03870	SPIC
HM09884	SPIC
HM10572	SPIC
HM05885	SPR
HM01134	SPZ1
HM02504	SPZ1
HM03419	SPZ1
HM05886	SRBD1
HM00941	SREBF1
HM10573	SREBF1
HM02034	SREBF2
HM03196	SREBF2
HM02580	SRF
HM03402	SRF
HM08530	SRF
HM05887	SRP9
HM02948	SRY
HM04540	SRY
HM04541	SRY
HM05888	SSBP3
HM07201	SSRP1
HM07203	SSRP1
HM07205	SSRP1
HM05889	SSX2
HM07208	STAG1
HM07209	STAG1
HM07210	STAG1
HM01145	STAT1
HM01443	STAT1
HM01444	STAT1
HM05390	STAT2
HM10578	STAT2
HM01147	STAT3
HM05537	STAT3
HM01148	STAT4
HM05392	STAT4
HM10580	STAT4
HM01150	STAT5A
HM01151	STAT5A
HM10581	STAT5A
HM02510	STAT5B
HM05539	STAT5B
HM10582	STAT5B
HM01153	STAT6
HM05541	STAT6
HM05891	STAU2
HM05893	SUCLG1
HM07211	SUPT20H
HM07213	SUZ12
HM07214	SUZ12
HM05894	TAF1A
HM05396	TAF1
HM10584	TAF1
HM07218	TAF2
HM07219	TAF2
HM07221	TAF2
HM07222	TAF3
HM07224	TAF3
HM07225	TAF3
HM07227	TAF7
HM07229	TAF7
HM07231	TAF7
HM05896	TAGLN2
HM02518	TAL1
HM02681	TAL1
HM05542	TAL1
HM07234	TARDBP
HM07235	TARDBP
HM07236	TARDBP
HM07238	TBL1X
HM07240	TBL1X
HM07241	TBL1X
HM10586	TBL1XR1
HM01155	TBP
HM01158	TBP
HM01445	TBP
HM05897	TBPL1
HM00835	TBPL2
HM00236	TBR1
HM04006	TBR1
HM00834	TBX10
HM00239	TBX15
HM02048	TBX15
HM08880	TBX15
HM08877	TBX18
HM08878	TBX18
HM04009	TBX19
HM08855	TBX19
HM08856	TBX19
HM02044	TBX1
HM02047	TBX1
HM04012	TBX1
HM00679	TBX20
HM02052	TBX20
HM04017	TBX20
HM00253	TBX21
HM02061	TBX21
HM02062	TBX21
HM00256	TBX2
HM02063	TBX2
HM08866	TBX2
HM05400	TBX3
HM06520	TBX3
HM10595	TBX3
HM00258	TBX4
HM02065	TBX4
HM00261	TBX5
HM02523	TBX5
HM08862	TBX6
HM05898	TCEAL2
HM05899	TCEAL6
HM01259	TCF12
HM02307	TCF12
HM03170	TCF12
HM06521	TCF15
HM07983	TCF21
HM07984	TCF21
HM00716	TCF23
HM07243	TCF25
HM07244	TCF25
HM07246	TCF25
HM02854	TCF3
HM04088	TCF3
HM05900	TCF3
HM02335	TCF4
HM04090	TCF4
HM08000	TCF4
HM02524	TCF7
HM08440	TCF7
HM08441	TCF7
HM00124	TCF7L1
HM08452	TCF7L1
HM08455	TCF7L1
HM02624	TCF7L2
HM03226	TCF7L2
HM05550	TCF7L2
HM00720	TCFL5
HM07921	TCFL5
HM03173	TEAD1
HM03406	TEAD1
HM04032	TEAD1
HM03169	TEAD2
HM06477	TEAD2
HM08883	TEAD2
HM02526	TEAD3
HM04033	TEAD3
HM04034	TEAD3
HM02527	TEAD4
HM04035	TEAD4
HM05403	TEAD4
HM01165	TEF
HM02077	TEF
HM03164	TEF
HM07249	TERF1
HM07250	TERF1
HM00809	TERF2
HM00746	TET1
HM05902	TFAM
HM02162	TFAP2A
HM04044	TFAP2A
HM04048	TFAP2A
HM02085	TFAP2B
HM02163	TFAP2B
HM04041	TFAP2B
HM00274	TFAP2C
HM00276	TFAP2C
HM05904	TFAP2C
HM10612	TFAP2D
HM00707	TFAP2E
HM08316	TFAP2E
HM00316	TFAP4
HM03246	TFAP4
HM08057	TFAP4
HM00053	TFCP2
HM03152	TFCP2
HM03807	TFCP2
HM03440	TFCP2L1
HM05553	TFCP2L1
HM08333	TFCP2L1
HM02533	TFDP1
HM06478	TFDP1
HM10617	TFDP1
HM04755	TFDP2
HM04756	TFDP2
HM02535	TFE3
HM04093	TFE3
HM06398	TFE3
HM04094	TFEB
HM05407	TFEB
HM05906	TFEB
HM03304	TFEC
HM04558	TFEC
HM07932	TFEC
HM02101	TGIF1
HM05907	TGIF1
HM03921	TGIF2
HM08556	TGIF2
HM10623	TGIF2
HM03920	TGIF2LX
HM05908	TGIF2LX
HM08562	TGIF2LX
HM02103	TGIF2LY
HM08559	TGIF2LY
HM04757	THAP11
HM04758	THAP11
HM07253	THAP11
HM00836	THAP12
HM05812	THAP12
HM01382	THAP1
HM02749	THAP1
HM06200	THAP1
HM05909	THAP5
HM00262	T
HM03357	T
HM08853	T
HM02104	THRA
HM02539	THRA
HM05910	THRA
HM02106	THRB
HM02542	THRB
HM04470	THRB
HM05912	TIA1
HM05914	TIMM44
HM05915	TIMM8A
HM07258	TLE3
HM07259	TLE3
HM07261	TLE3
HM02544	TLX1
HM10626	TLX1
HM03741	TLX2
HM07500	TLX2
HM10627	TLX2
HM02543	TLX3
HM07496	TLX3
HM07497	TLX3
HM05916	TMSB4XP8
HM10792	TNR
HM05917	TOB2
HM07264	TOP1
HM07265	TOP1
HM01061	TOPORS
HM10860	TOPORS
HM04762	TOX4
HM04765	TOX4
HM00884	TP53
HM03015	TP53
HM02108	TP63
HM02423	TP63
HM02154	TP73
HM02424	TP73
HM05918	TP73
HM05919	TPI1
HM05920	TPPP
HM00408	TRAF4
HM05921	TRIM21
HM07268	TRIM22
HM07270	TRIM22
HM07274	TRIM24
HM07275	TRIM24
HM07276	TRIM24
HM02668	TRIM28
HM02811	TRIM28
HM05922	TRIM69
HM05923	TRIP10
HM05592	TRMO
HM05924	TRMT1
HM05925	TROVE2
HM07277	TRRAP
HM05926	TSC22D4
HM04768	TSHZ1
HM04769	TSHZ1
HM05928	TSNAX
HM05927	TSN
HM10835	TTF1
HM05929	TULP1
HM02545	TWIST1
HM06479	TWIST1
HM00711	TWIST2
HM05930	U2AF1
HM05683	UBE2K
HM10740	UBE2O
HM10923	UBE2O
HM05932	UBE2V1
HM07279	UBN1
HM07281	UBN1
HM07282	UBN1
HM02547	UBP1
HM08332	UBP1
HM10886	UBP1
HM04774	UBTF
HM07286	UBTF
HM05933	UGP2
HM04390	UNCX
HM09967	UNCX
HM05934	UQCRB
HM02548	USF1
HM05935	USF1
HM00936	USF2
HM05936	USF2
HM10636	USF2
HM05937	USP39
HM07290	USP7
HM07291	USP7
HM07292	USP7
HM05938	UTP18
HM05333	UVRAG
HM05939	VAMP3
HM04392	VAX1
HM07522	VAX1
HM10637	VAX1
HM02113	VAX2
HM05940	VAX2
HM07524	VAX2
HM10774	VBP1
HM02550	VDR
HM03396	VDR
HM04473	VDR
HM00555	VENTX
HM00769	VENTX
HM04394	VENTX
HM05413	VEZF1
HM05942	VPS4B
HM05943	VSX1
HM07790	VSX1
HM07791	VSX1
HM07782	VSX2
HM07783	VSX2
HM07786	VSX2
HM00774	VTN
HM05740	WDR83
HM05945	WISP2
HM04775	WIZ
HM04777	WIZ
HM10643	WRNIP1
HM03333	WT1
HM05414	WT1
HM10644	WT1
HM00352	XBP1
HM10645	XBP1
HM05946	XG
HM09087	XPA
HM09088	XPA
HM05947	XRCC1
HM07293	YAP1
HM07294	YAP1
HM07297	YAP1
HM08335	YBX1
HM08336	YBX1
HM10646	YBX1
HM04779	YBX3
HM04780	YBX3
HM04781	YBX3
HM05948	YEATS4
HM05949	YWHAE
HM05950	YWHAZ
HM03157	YY1
HM10647	YY1
HM00027	YY2
HM02125	YY2
HM03780	YY2
HM03781	ZBED1
HM05951	ZBED1
HM09079	ZBED1
HM04783	ZBED4
HM04784	ZBED4
HM04785	ZBED4
HM07300	ZBTB11
HM07301	ZBTB11
HM07302	ZBTB11
HM05952	ZBTB12
HM09162	ZBTB12
HM09165	ZBTB12
HM03176	ZBTB14
HM09157	ZBTB14
HM10651	ZBTB14
HM03322	ZBTB16
HM10652	ZBTB16
HM04788	ZBTB17
HM04789	ZBTB17
HM04792	ZBTB17
HM03134	ZBTB18
HM03789	ZBTB18
HM05973	ZBTB18
HM00731	ZBTB1
HM09173	ZBTB20
HM09170	ZBTB22
HM04794	ZBTB24
